Company,City,AffectedWorkers,NoticeRcvd,NoticeType,LayoffBeginDate,NAICSDescription,County,WDA
Superior Silica Sands,Prairie Farm,10,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Barron,West Central
Superior Silica Sands,Chetek,10,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Barron,West Central
Superior Silica Sands,Barron,10,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Barron,West Central
Superior Silica Sands-Arland Facility,Clayton,10,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Polk,West Central
Superior Silica Sands-CRM Facility,Clayton,10,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Polk,West Central
Superior Silica Sands-FLS Facility,Clayton,10,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Polk,West Central
Unimin Corporation,Tunnel City,65,3/24/2016,CL,03/21/2016,Ind Sand Mining,Monroe,Western
Unimin Corporation - Revision 1,Tunnel City,0,7/7/2016,RN,03/21/2016,Ind Sand Mining,Monroe,Western
Rock-Walworth Comprehensive Family Services Inc.-Merrill Head Start,Janesville,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Rock,Southwest
"Maslow Media Group, Inc.",Milwaukee,1,3/21/2016,CL,04/20/2016,Teleproduction & Postproduction Services,Milwaukee,Milwaukee
"Five Star Quality Care, Inc.",Pewaukee,144,3/8/2016,CL,05/17/2016,Assisted Living Facilities for the Elderly,Waukesha,WOW
"OEM Fabricators, Inc.",Baldwin,34,3/3/2016,CL,04/30/2016,Other Industrial Machinery Mfg,St. Croix,West Central
W.D. Hoard & Sons Co.,Fort Atkinson,3,3/31/2016,LS,04/15/2016,Commercial Gravure Printing,Jefferson,South Central
Mexican Accent LLC,New Berlin,155,2/19/2016,CL,04/22/2016,Other Snack Food Mfg,Waukesha,WOW
"Publications International, Ltd.",Yorkville,50,2/2/2016,CL,04/01/2016,Book & Periodical Merch Whls,Racine,South East
Eaton Corporation,Watertown,91,2/24/2016,AW,06/30/2015,Relay & Ind Control Mfg,Jefferson,South Central
